7zip 24.09-3
exo 4.20.0-2
expat 2.6.4-1
fakeroot 1.37-1
fastfetch 2.37.0-1
ffmpeg 2:7.1-6
fftw 3.3.10-7
file 5.46-3
filesystem 2024.11.21-1
findutils 4.10.0-2
flac 1.5.0-1
flex 2.6.4-5
fmt 11.1.3-1
fontconfig 2:2.16.0-2
freetype2 2.13.3-3
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fzf 0.60.0-1
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r753+g1cd744a6828f-1
gcc-libs 14.2.1+r753+g1cd744a6828f-1
gcr-4 4.3.0-1
gd 2.3.3-8
gdbm 1.24-2
gdk-pixbuf2 2.42.12-2
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.23.1-2
giflib 5.2.2-1
git 2.48.1-2
glaze 4.4.3-1
glib-networking 1:2.80.1-1
glib2 2.82.5-1
glib2-devel 2.82.5-1
glibc 2.41+r9+ga900dbaf70f0-1
glibmm 2.66.7-1
glibmm-2.68 2.82.0-1
glslang 15.1.0-1
glycin 1.1.4-1
gmp 6.3.0-2
gnome-bluetooth 3.34.5+r16+g61cfff1c-2
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.9-1
go 2:1.24.0-1
gobject-introspection-runtime 1.82.0-3
gperftools 2.16-1
gpgme 1.24.2-1
gpm 1.20.7.r38.ge82d1a6-6
granite 1:6.2.0-1
graphene 1.10.8-2
graphite 1:1.3.14-4
grep 3.11-1
grim 1.4.1-2
groff 1.23.0-7
grub 2:2.12-3
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsm 1.0.22-2
gssdp 1.6.3-2
gst-plugin-pipewire 1:1.2.7-1
gst-plugins-bad-libs 1.24.12-3
gst-plugins-base-libs 1.24.12-3
gstreamer 1.24.12-3
gtest 1.15.2-1
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.16.12-1
gtk3 1:3.24.48-2
gtk4 1:4.16.12-1
gtkmm-4.0 4.16.0-1
gtkmm3 3.24.9-1
gtksourceview4 4.8.4-1
guile 3.0.10-1
gupnp 1:1.6.8-1
gupnp-igd 1.6.0-1
gvfs 1.56.1-3
gvfs-gphoto2 1.56.1-3
gvfs-mtp 1.56.1-3
gzip 1.13-4
harfbuzz 10.3.0-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
hunspell 1.7.2-2
hwdata 0.392-1
hyprcursor-git 0.1.11.r7.g7c6d165e-1
hyprcursor-git-debug 0.1.11.r7.g7c6d165e-1
hyprgraphics-git 0.1.2.r2.g175c6b29-1
hyprgraphics-git-debug 0.1.2.r2.g175c6b29-1
hypridle-git 0.1.5.r6.g3e30a63b-1
hypridle-git-debug 0.1.5.r6.g3e30a63b-1
hyprland-git 0.47.0.r94.gf4b148df-1
hyprland-git-debug 0.47.0.r94.gf4b148df-1
hyprland-protocols-git 0.6.2.r0.755aef8-1
hyprland-qt-support-git 0.1.0.r6.g8810df50-1
hyprland-qt-support-git-debug 0.1.0.r6.g8810df50-1
hyprland-qtutils-git 0.1.3.r6.g3504a293-1
hyprland-qtutils-git-debug 0.1.3.r6.g3504a293-1
hyprlang-git 0.6.0.r8.ga7334904-1
hyprlang-git-debug 0.6.0.r8.ga7334904-1
hyprlock-git 0.7.0.r0.ge588351d-1
hyprlock-git-debug 0.7.0.r0.ge588351d-1
hyprpolkitagent-git 0.1.2.r2.g3bef8bf8-1
hyprpolkitagent-git-debug 0.1.2.r2.g3bef8bf8-1
hyprshot-git 1.3.0.r2.f95068d-1
hyprutils-git 0.5.1.r0.g61a5382f-1
