7zip 24.09-3
sddm 0.21.0-6
sdl2-compat 2.32.50-1
sdl3 3.2.4-1
seatd 0.9.1-1
sed 4.9-3
serd 0.32.4-1
serf 1.3.10-2
shaderc 2024.4-1
shadow 4.16.0-1
shared-mime-info 2.4-1
slang 2.3.3-3
slurp 1.5.0-1
smbclient 2:4.21.4-1
snappy 1.2.1-2
sndio 1.10.0-1
sof-firmware 2025.01-1
sonnet 6.11.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
spdlog 1.15.1-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.4.rc2-1
sqlite 3.49.1-1
sratom 0.6.18-1
srt 1.5.4-1
startup-notification 0.12-8
subversion 1.14.5-1
sudo 1.9.16.p2-2
svt-av1 2.3.0-1
swaync 0.10.1-3
swww-git 0.9.5.r183.g3e2e2ba-1
swww-git-debug 0.9.5.r183.g3e2e2ba-1
systemd 257.3-1
systemd-libs 257.3-1
systemd-sysvcompat 257.3-1
taglib 2.0.2-1
talloc 2.4.3-1
tar 1.35-2
tdb 1.4.13-1
tevent 1:0.16.2-1
texinfo 7.2-1
thunar 4.20.2-1
thunar-archive-plugin 0.5.3-1
thunar-media-tags-plugin 0.5.0-1
thunar-shares-plugin 1:0.4.0-1
thunar-vcs-plugin 0.3.0-1
thunar-volman 4.20.0-2
tinysparql 3.8.2-3
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tslib 1.23-1
tzdata 2025a-1
udisks2 2.10.1-5
unrar 1:7.1.4-1
unzip 6.0-22
upower 1.90.7-1
util-linux 2.40.4-1
util-linux-libs 2.40.4-1
v4l-utils 1.28.1-2
vapoursynth R70-2
vid.stab 1.1.1-2
vmaf 3.0.0-1
volume_key 0.3.12-10
vulkan-headers 1:1.4.303-1
vulkan-icd-loader 1.4.303-1
waybar-git r3783.8490a1d9-1
waybar-git-debug r3783.8490a1d9-1
wayland 1.23.1-1
wayland-protocols 1.41-1
webrtc-audio-processing-1 1.3-4
which 2.21-6
wireplumber 0.5.8-1
wl-clipboard 1:2.2.1-2
wpa_supplicant 2:2.11-3
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xapp 2.8.8-1
xarchiver 0.5.4.23-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcur2png 0.7.1-8
xdg-desktop-portal 1.20.0-1
xdg-desktop-portal-hyprland-git 1.3.9.r3.ge09dfe27-1
xdg-desktop-portal-hyprland-git-debug 1.3.9.r3.ge09dfe27-1
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xfconf 4.20.0-2
xkeyboard-config 2.44-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.15-1
xorg-server-common 21.1.15-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.3-1
xorg-xkbcomp 1.4.7-1
xorg-xprop 1.2.8-1
xorg-xset 1.2.5-2
xorg-xwayland 24.1.5-1
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.6.4-1
yay 12.4.2-1
yay-debug 12.4.2-1
yyjson 0.10.0-1
zeromq 4.3.5-2
zimg 3.0.5-1
zix 0.6.2-1
zlib 1:1.3.1-2
zram-generator 1.2.1-1
zsh 5.9-5
zstd 1.5.6-1
